,Cohort,Tank,Date,Total Tenure,Tank Tenure,Total Feed Offered (g),REQUIRED Feed(g)/Day,Feed Size 1,% CP,% of Total,Total Feed (g) size 1,Feed Size 2,% CP2,% of Total2,Total Feed (g) size 2,Feed Size 3,% CP3,% of Total3,Total Feed (g) size 3,Alkalinity Remaining g/L,Sodium bicarbo te (g),Turbostart (mL),PROJECTED GROWTH Feed Curve,Required g protien per shrimp,FCR Expected ,Manual Correction Factor,Daily Feed Required at 35% CP Feed(g),400-600um,600-1000um,1.0-1.3mm,1.3-1.8mm,1.8-2.4mm,Grams of Increased Feed,Daily Feed Required at Offered 35%CP (g),Total Tenure Feed Offered (g),HISTORIC expected size (Wt g/ Shrimp),% Difference from Growth Curve,EXPECTED SIZE (Wt g/ Shrimp),Wt.(g) increment2,AVERAGE SIZE Weight in Grams / Shrimp,% Difference from Growth Curve2,ADFI,ADG,FEED:GAIN,Calculated Count - Includes Daily Mortality Rate and Staff Removal Counts,Jumpers,Sump Dump,Total Daily MIA Assumed Loss - Actual Counted,Daily Mortality Assumption,Samples,Harvest,Termi tion,"Actual Count - Estimates Including Sump Dump, Jumpers and Other Loses",Harvest Weight in Pounds,Projected Growth (g),Shrimp Count/L,Shrimp Count/m2,Shrimp Count/m3,Biomass Kg/m2,Maximum Biomass Kg/m2 by Weight,Biomass (Kg)/m3,Shrimp Harvest Size Code,MBBR(LPM),MBBR(GPM),Standard(LPM),Standard(GPM),EN(LPM),EN(GPM),Tank Level (cm),Initial Salinity (ppt),Fi l Salinity (28-32 PPT),Pump Pressure (PSI),BioFilter Flow Rate (LPM),pH (7.5-8.4),D.O. (goal 4.5),Temperature (28-30°C),TSS,Turbidity,Mat? Y/N,Imhoff (15mL/L),TAN NH4,Un-ionized NH3-N (0.4mg/L),NO2-N (4.5mg/L),ALK CaCO3 (75-200mg/L),NO3-N (250mg/L),28ppt Sea Water Added (cm),Marine Mix (Pounds),0 ppt RO Water Added (cm),Amonium Chloride (NH4Cl)g,Sodium Nitrite ( NO2)g,FOS (C6H12O6)g,Sodium Carbo te ( CO3)g,Sodium Bicarbo te ( HCO3)g,Biowish,Turbo start,Water Exchange Percent,Monster,NOTES,Turbostart 10X(mL),FCR Expected,% Difference from Growth Curve1,EXPECTED SIZE (Wt g/ Shrimp),Back Flush Frequency,Filter 2 - Pump Pressure (PSI),BioFilter 2 Flow Rate (LPM),TAN NH4_2,TAN NH4_3,NO2-N (4.5mg/L)_2,NO2-N (4.5mg/L)_3,ALK CaCO3 (75-200mg/L)_2,ALK CaCO3 (75-200mg/L)_3,NO3-N (250mg/L)_2,NO3-N (250mg/L)_3,Wt.(g) increment1,ADJUSTED EXPECTED SIZE (Wt g/ Shrimp),BioFilter Flow Rate (LPM)_2,Molts-Harvest End (g),Molts-Feed End (g),Bead Filter 1 Assigned Flow Rate (LPM),Bead Filter 2 Assigned Flow Rate (LPM),Recommended Back Flush Frequency,Recommended Sump Dump Frequency,PROJECTED GROWTH/FEED CURVE,Wt.(g) increment for Feed,ADFI Over Entire Tenure,ADG Over Entire Tenure,BioFilter Flow Rate (LPM)_3,Bead Filter 3 Assigned Flow Rate (LPM),Recommended Back Flush Frequency - All Filters,Calculated Daily Water Exch ge,NOTES
16,Cohort1,RTB1,12/12/2018,49,16,3014,2871,14-Dec,35%,100%,2871, , ,0,0, , , ,0,103.2996385,8.9,0,3.500743552,0.042902661,,1,2871,0,0,0,2871,0,145,2871,21205,3.500743552,,,0.205630965,2.48177777,0.708928756,0.018347861,0.050587301,0.362696962,23423.49017,14, ,147.5225323,161.5225323,7, , ,23425.83053, ,2.757210754,0.5,140.2953815,460.2866846,0.386823934,2.216245037,1.269107397,245.5001024,98,26,49,13,33,9,36,30.1,30.1,6.7-4.6,190,7.49,5,28, , ,n, ,0.12,0,0.63, ,14.71, , , , , , , ,15.5,12.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
17,Cohort1,RTB1,12/13/2018,50,17,2839,3024,14-Dec,35%,70%,2116.8,Feed 5,0.35,0.3,907.2, , , ,0,98.14632766,8.8,0,3.715516869,0.04551008,,1,3024,0,0,0,2116.8,907.2,153,3024,24044,3.715516869,,,0.214773317, ,0,0.020529818,-6.00E-05,-342.1636404,23254.96763,18, ,142.3604431,160.3604431, , , ,23265.47008,0,2.696551087,0.5,139.3349959,457.1358134,0.375723935,2.202563752,1.232690074,251.0226955,103,28,52,14,35,10,40,29.4,29.4,6.8-4.7,190,7.45,5,28.1, , ,n, ,0.18,0,0.81,208, , , , , , , , ,16.4,12.7,6871, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
18,Cohort1,RTB1,12/14/2018,51,18,2896,3185,14-Dec,35%,70%,2229.5,Feed 5,0.35,0.3,955.5, , , ,0,92.7235627,8.7,0,3.939839006,0.048275966,,1,3185,0,0,0,2229.5,955.5,161,3185,26940,3.939839006,,,0.224322137, ,0,0.022714944,-5.88E-05,-386.1540528,23094.60719,22, ,137.2546375,159.2546375, , , ,23106.21545,0,2.920873224,0.5,138.3812329,454.0066697,0.404194038,2.251707812,1.326095925,231.7442321,109,29,55,15,37,10,40,29.4,29.4,6.8-0,174,7.5,5.1,28, , ,n, ,0.14,0,0.83,201,35.75, , , , , , , ,17.4,12.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
19,Cohort1,RTB1,12/15/2018,52,19,3588,3356,14-Dec,35%,50%,1678,Feed 5,0.35,0.5,1678, , , ,0,86.96398004,8.6,0,4.174134504,0.05120995,,1,3356,0,0,0,1678,1678,171,3356,30528,4.174134504,,,0.234295498, ,0,0.02542052,-5.77E-05,-440.622346,22935.35255,26, ,132.1564574,158.1564574, , , ,22948.05899,0,3.155168723,0.5,137.4340468,450.8991038,0.433627606,2.299160813,1.42266275,214.5354439,115,31,58,16,39,11,38,28.2,28.2,6.4-4.7,165,7.62,5.2,28, , ,n, ,0.3,0.01,0.48, , , , , , , , , ,18.5,12.7,6871, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
20,Cohort1,RTB1,12/16/2018,53,20,3805,3535,14-Dec,35%,30%,1060.5,Feed 5,0.35,0.7,2474.5, , , ,0,80.93494322,8.5,0,4.418846779,0.054322247,,1,3535,0,0,0,1060.5,2474.5,179,3535,34333,4.418846779,,,0.244712275, ,0,0.028244277,-5.66E-05,-498.9822287,22777.1961,38, ,119.06585,157.06585, , , ,22790.99314,0,3.399880998,0.5,136.4933923,447.8129669,0.464061291,2.345100365,1.522510797,199.0938868,121,32,61,16,41,11,37,28.3,28.3,6.4-4.6,171,7.5,4.9,28, , ,n, ,0.32,0.01,0.52, , , , , , , , , ,19.6,12.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
21,Cohort1,RTB1,12/17/2018,54,21,4034,3724,Feed 5,35%,100%,3724, , ,0,0, , , ,0,74.56908869,8.9,0,4.674438961,0.057623694,,1,3724,0,0,0,0,3724,189,3724,38367,4.674438961,,,0.255592181, ,0,0.03119348,-5.56E-05,-561.4826314,22620.13025,57, ,98.98276315,155.9827631, , , ,22635.01038,0,3.655473179,0.5,135.5592243,444.7481113,0.495533109,2.389678711,1.625764792,185.1731607,127,34,64,17,43,12,35,29.6,29.6,6.8-4.6,217,7.46,5,27.9, , ,n, ,0.13,0,0.83,198,25.51, , , , , , , ,20.7,12.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
22,Cohort1,RTB1,12/18/2018,55,22,4262,3923,Feed 5,35%,100%,3923, , ,0,0, , , ,0,67.86641647,9.4,0,4.941394769,0.061125788,,1,3923,0,0,0,0,3923,199,3923,42629,4.941394769,,,0.266955808, ,0,0.034264733,-5.45E-05,-628.1867749,22464.14748,34, ,120.907145,154.907145, , , ,22480.10323,0,3.922428987,0.5,134.6314981,441.7043901,0.528082491,2.433027327,1.732554104,172.5704977,134,36,67,18,45,12,40,29.9,29.9,6.8-4.6,181,7.42,4.7,28, , ,n, ,0.23,0,0.81,204, , , , , , , , ,14.6,12.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
23,Cohort1,RTB1,12/19/2018,56,23,4510,4133,Feed 5,35%,100%,4133, , ,0,0, , , ,0,60.79324478,9.9,0,5.220219431,0.064840723,,1,4133,0,0,0,0,4133,210,4133,47139,5.220219431,,,0.278824662,4.16311,0.797497127,0.037471614,0.074287679,0.504412232,22309.24034,61, ,92.83894406,153.8389441,9, , ,22317.26429,0,4.201253649,0.5,133.656269,438.5048196,0.561523888,2.475260526,1.842269973,161.1175089,141,38,71,19,47,13,40,29.4,29.4,6.8-4.5,178,7.33,4.5,28, , ,n, ,0.28,0,0.95,207,25.1, , , , , , ,609.6,15.5,12.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
24,Cohort1,RTB1,12/20/2018,57,24,4642,4231,Feed 5,35%,100%,4231, , ,0,0, , , ,0,57.49243133,10.2,0,5.511440635,0.066864778,,1,4231,0,0,0,0,4231,98,4231,51781,5.511440635,,,0.291221205, ,0,0.040720284,-5.26E-05,-773.685391,22146.40139,65,30,57.71604741,152.7160474, , , ,22164.54824,0,4.454331205,0.5,132.7416651,435.5041506,0.591275341,2.51123431,1.939879728,151.9634466,144,39,72,20,48,13,38,28.4,28.4,6.7-4.5,178,7.37,4.6,27.9, , ,n, ,0.19,0,1.15,204, , , , , , , ,522.4,15.9,12.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
25,Cohort1,RTB1,12/21/2018,58,25,4804,4350,Feed 5,35%,100%,4350, , ,0,0, , , ,0,53.4843007,10.4,0,5.815609533,0.069223238,,1,4350,0,0,0,0,4350,119,4350,56585,5.815609533,,,0.304168898, ,0,0.044052459,-5.17E-05,-851.6808817,21993.68535,3, ,148.6629557,151.6629557, , , ,22012.88528,0,4.758500103,0.5,131.8333681,432.5241735,0.627329096,2.551858496,2.058166324,142.2497652,149,40,75,20,50,14,40,28.8,28.8,6.7-4.6,178,7.35,4.6,27.9, , ,n, ,0.33,0,1.43,205,23.2, , , , , , ,564.7,16.5,12.7, , , ,Removed socks, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
26,Cohort1,RTB1,12/22/2018,59,26,4963,4465,Feed 5,35%,100%,4465, , ,0,0, , , ,0,49.61089716,10.7,0,6.133301779,0.071555319,,1,4465,0,0,0,0,4465,115,4465,61548,6.133301779,,,0.317692245, ,0,0.04743118,-5.08E-05,-932.8131996,21842.02239,16, ,134.6171259,150.6171259, , , ,21862.26816,0,5.076192348,0.5,130.9313344,429.5647455,0.664632638,2.591605287,2.180553274,133.3470988,152,41,76,21,51,14,39,29.2,29.2,6.8-5.7,178,7.35,4.72,28.1, , ,n, , , , , , , , , , , , ,564.7,17,12.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
27,Cohort1,RTB1,12/23/2018,60,27,5121,4578,Feed 5,35%,100%,4578, , ,0,0, , , ,0,45.80485715,11,0,6.465118619,0.073862025,,1,4578,0,0,0,0,4578,113,4578,66669,6.465118619,,,0.331816841, ,0,0.050872121,-5.00E-05,-1017.442415,21691.40527,16, ,133.5785079,149.5785079, , , ,21712.68965,0,5.408009189,0.5,130.035521,426.6257251,0.703233292,2.630546838,2.307195841,125.1653795,156,42,78,21,52,14,40,28.9,28.9,6.6-5.8,178,7.33,4.7,28, , ,n, ,0.33,0,1.14, , , , , , , , ,609.6,17.6,12.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
28,Cohort1,RTB1,12/24/2018,61,28,5258,4687,Feed 5,35%,100%,4687, , ,0,0, , , ,0,42.13354423,11.2,0,6.805118619,0.076144306,,1,4687,0,0,0,0,4687,109,4687,71927,6.805118619,,,0.34, ,0,0.054359371,-4.92E-05,-1105.307211,21541.82676,28,17,103.5470519,148.5470519, , , ,21564.1426,0,5.748009189,0.5,129.1458849,423.7069713,0.742331733,2.668044944,2.435471565,117.7617328,160,43,80,22,54,15,40,28.9,28.9,6.7-5.8,194,7.28,4.7,28, , ,n, ,0.26,0,0.98,225,18.1, , , , , , ,733.6,18,12.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
29,Cohort1,RTB1,12/25/2018,62,29,5411,4792,Feed 5,35%,100%,4792, , ,0,0, , , ,0,38.59695838,11.5,0,7.145118619,0.078403057,,1,4792,0,0,0,0,4792,105,4792,77338,7.145118619,,,0.34, ,0,0.057905354,-4.84E-05,-1196.710642,21393.27971,48, ,99.52270853,147.5227085, , , ,21416.61989,0,6.088009189,0.5,128.2623834,420.8083446,0.780862569,2.703387495,2.561885069,111.1850363,164,44,82,22,55,15,40,28.9,28.9,6.7-5.7,182,7.31,4.6,27.9, , ,n, ,0.29,0,0.89, , , , , , , , ,657.2,18.6,12.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
30,Cohort1,RTB1,12/26/2018,63,30,5545,4895,Feed 5,35%,100%,4895, , ,0,0, , , ,0,35.12773608,11.7,0,7.485118619,0.080639126,,1,4895,0,0,0,0,4895,103,4895,82883,7.485118619,,,0.34,5.889556,0.78683536,0.061496096,0.093437397,0.658152921,21245.757,54, ,92.50542881,146.5054288,8, , ,21262.11446,0,6.428009189,0.5,127.3370631,417.7725166,0.818523811,2.7368089,2.685445576,105.3040689,167,45,84,23,56,15,40,29.1,29.1,6.1-5.8,193,7.28,4.7,27.9, , ,n, ,0.33,0,0.88,249,44, , , , , , ,733.6,19,12.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
31,Cohort1,RTB1,12/27/2018,64,31,5683,4993,Feed 5,35%,100%,4993, , ,0,0, , , ,0,31.82692262,12,0,7.825118619,0.082853317,,1,4993,0,0,0,0,4993,98,4993,88566,7.825118619,,,0.34, ,0,0.065135064,-4.69E-05,-1389.54804,21091.25157, ,16,129.439998,145.439998, , , ,21116.67446,0,6.229556,0.5,126.4660348,414.9148124,0.787827246,2.717522613,2.584735059,108.6587106,170,45,85,23,57,15,40,29.3,29.3,6.3-10.6,191,7.37,4.6,28.1, , ,n, ,0.46,0.01,0.92, , , , , , , , ,522.4,19.5,12.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
32,Cohort1,RTB1,12/28/2018,65,32,5831,5090,Feed 5,35%,100%,5090, , ,0,0, , , ,0,28.55979094,12.2,0,8.165118619,0.085046391,,1,5090,0,0,0,0,5090,97,5090,94397,8.165118619,,,0.34, ,0,0.06885611,-4.62E-05,-1491.882384,20945.81157, , ,144.4370801,144.4370801, , , ,20972.23738,0,6.569556,0.5,125.601013,412.0768142,0.825142888,2.750204444,2.707161707,103.0352009,174,46,87,23,58,16,40,28.3,28.3,6.3-5.7,197,7.46,4.89,28.1, , ,n, ,0.44, ,1.02,244,43.1, , , , , , , ,20,12.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
33,Cohort1,RTB1,12/29/2018,66,33,5977,5184,Feed 5,35%,100%,5184, , ,0,0, , , ,0,25.39370456,12.4,0,8.505118619,0.087219069,,1,5184,0,0,0,0,5184,94,5184,100374,8.505118619,,,0.34, ,0,0.072607269,-4.55E-05,-1597.359925,20801.37449, , ,143.4410781,143.4410781, , , ,20828.79631,0,6.909556,0.5,124.7419561,409.2583862,0.861911531,2.781236809,2.827793738,97.96512575,177,47,89,24,59,16,40,28.5,28.5,6.5-5.7, ,7.33,4.7,29.5, , ,n, ,0.56,0.01,1.06, , , , , , , , ,609.6,20.5,12.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
