,Variable,date,Tank,Mean,Cohort
94,Antenna:Shrimp lengths (ratio):,8/30/2018,LTB,0.345261208,
95,Condition Factor:,8/30/2018,LTB,1.07155481,
96,Gut content (score):,8/30/2018,LTB,1.2,
97,Hepatosomatic index:,8/30/2018,LTB,0.040222823,
98,Surface necrosis (score):,8/30/2018,LTB,0.8,
99,Antenna:Shrimp lengths (ratio):,11/1/2018,LTB,0.972635842,
100,Condition Factor:,11/1/2018,LTB,1.175364383,
101,Gut content (score):,11/1/2018,LTB,3.6,
102,Hepatosomatic index:,11/1/2018,LTB,0.061990803,
103,Surface necrosis (score):,11/1/2018,LTB,0.2,
104,Antenna:Shrimp lengths (ratio):,11/8/2018,LTB,0.786118119,
105,Condition Factor:,11/8/2018,LTB,1.097665787,
106,Gut content (score):,11/8/2018,LTB,0,
107,Hepatosomatic index:,11/8/2018,LTB,0.072595055,
108,Surface necrosis (score):,11/8/2018,LTB,0.6,
109,Antenna:Shrimp lengths (ratio):,11/16/2018,LTB,0.483743532,
110,Condition Factor:,11/16/2018,LTB,1.090387966,
111,Gut content (score):,11/16/2018,LTB,3.2,
112,Hepatosomatic index:,11/16/2018,LTB,0.053866927,
113,Surface necrosis (score):,11/16/2018,LTB,0.4,
114,Antenna:Shrimp lengths (ratio):,11/21/2018,LTB,0.462216324,
115,Condition Factor:,11/21/2018,LTB,1.058877592,
116,Gut content (score):,11/21/2018,LTB,0.4,
117,Hepatosomatic index:,11/21/2018,LTB,0.053713596,
118,Surface necrosis (score):,11/21/2018,LTB,0.4,
119,Antenna:Shrimp lengths (ratio):,12/6/2018,LTB,0.280876919,
120,Condition Factor:,12/6/2018,LTB,1.032511454,
121,Gut content (score):,12/6/2018,LTB,1.4,
122,Hepatosomatic index:,12/6/2018,LTB,0.049020224,
123,Surface necrosis (score):,12/6/2018,LTB,0.2,
124,Antenna:Shrimp lengths (ratio):,12/13/2018,LTB,0.373369506,
125,Condition Factor:,12/13/2018,LTB,1.060186205,
126,Gut content (score):,12/13/2018,LTB,2,
127,Hepatosomatic index:,12/13/2018,LTB,0.045267471,
128,Surface necrosis (score):,12/13/2018,LTB,0.8,
129,Antenna:Shrimp lengths (ratio):,12/20/2018,LTB,0.239852588,
130,Condition Factor:,12/20/2018,LTB,1.056720471,
131,Gut content (score):,12/20/2018,LTB,3.4,
132,Hepatosomatic index:,12/20/2018,LTB,0.031751368,
133,Surface necrosis (score):,12/20/2018,LTB,0.8,
134,Antenna:Shrimp lengths (ratio):,1/3/2019,LTB,0.312354976,
135,Condition Factor:,1/3/2019,LTB,1.112865575,
136,Gut content (score):,1/3/2019,LTB,3.6,
137,Hepatosomatic index:,1/3/2019,LTB,0.19100612,
138,Surface necrosis (score):,1/3/2019,LTB,0.4,
139,Antenna:Shrimp lengths (ratio):,1/9/2019,LTB,0.451711774,
140,Condition Factor:,1/9/2019,LTB,1.179129627,
141,Gut content (score):,1/9/2019,LTB,2.75,
142,Hepatosomatic index:,1/9/2019,LTB,0.042085991,
143,Surface necrosis (score):,1/9/2019,LTB,0.5,
144,Antenna:Shrimp lengths (ratio):,1/17/2019,LTB,0.479362148,
145,Condition Factor:,1/17/2019,LTB,1.033979204,
146,Gut content (score):,1/17/2019,LTB,1.8,
147,Hepatosomatic index:,1/17/2019,LTB,0.045456832,
148,Surface necrosis (score):,1/17/2019,LTB,0.8,
149,Antenna:Shrimp lengths (ratio):,1/24/2019,LTB,0.319838408,
150,Condition Factor:,1/24/2019,LTB,1.196930606,
151,Gut content (score):,1/24/2019,LTB,1.8,
152,Hepatosomatic index:,1/24/2019,LTB,0.043743943,
153,Surface necrosis (score):,1/24/2019,LTB,0.4,
154,Antenna:Shrimp lengths (ratio):,1/31/2019,LTB,0.736136794,
155,Condition Factor:,1/31/2019,LTB,1.049078506,
156,Gut content (score):,1/31/2019,LTB,0.4,
157,Hepatosomatic index:,1/31/2019,LTB,0.035810962,
158,Surface necrosis (score):,1/31/2019,LTB,0,
159,Antenna:Shrimp lengths (ratio):,9/10/2019,LTB,0.327967235,
160,Condition Factor:,9/10/2019,LTB,0.874565807,
161,Gut content (score):,9/10/2019,LTB,2.6,
162,Hepatosomatic index:,9/10/2019,LTB,0.045643366,
163,Surface necrosis (score):,9/10/2019,LTB,0.2,
164,Weight (g),9/10/2019,LTB,16.846,
165,Antenna:Shrimp lengths (ratio):,9/17/2019,LTB,0.290504923,
166,Condition Factor:,9/17/2019,LTB,0.849949776,
167,Gut content (score):,9/17/2019,LTB,2.2,
168,Hepatosomatic index:,9/17/2019,LTB,0.045519843,
169,Surface necrosis (score):,9/17/2019,LTB,0.6,
170,Weight (g),9/17/2019,LTB,19.52,
171,Antenna:Shrimp lengths (ratio):,9/24/2019,LTB,0.364503225,
172,Condition Factor:,9/24/2019,LTB,1.02480924,
173,Gut content (score):,9/24/2019,LTB,0,
174,Hepatosomatic index:,9/24/2019,LTB,0.037312828,
175,Surface necrosis (score):,9/24/2019,LTB,0,
176,Weight (g),9/24/2019,LTB,23.07,
177,Antenna:Shrimp lengths (ratio):,10/1/2019,LTB,0.261766776,
178,Condition Factor:,10/1/2019,LTB,1.024343035,
179,Gut content (score):,10/1/2019,LTB,1.6,
180,Hepatosomatic index:,10/1/2019,LTB,0.040460212,
181,Surface necrosis (score):,10/1/2019,LTB,0.4,
182,Weight (g),10/1/2019,LTB,24.678,
183,Antenna:Shrimp lengths (ratio):,10/8/2019,LTB,0.201554605,
184,Condition Factor:,10/8/2019,LTB,0.862040427,
185,Gut content (score):,10/8/2019,LTB,1,
186,Hepatosomatic index:,10/8/2019,LTB,0.04972383,
187,Surface necrosis (score):,10/8/2019,LTB,0.8,
188,Weight (g),10/8/2019,LTB,21.386,
189,Antenna:Shrimp lengths (ratio):,1/28/2020,LTB,1.175648082,
190,Condition Factor:,1/28/2020,LTB,0.859796804,
191,Gut content (score):,1/28/2020,LTB,1.6,
192,Hepatosomatic index:,1/28/2020,LTB,0.067660364,
193,Surface necrosis (score):,1/28/2020,LTB,0.8,
194,Weight (g),1/28/2020,LTB,3.512,
195,Antenna:Shrimp lengths (ratio):,2/11/2020,LTB,0.899273016,
196,Condition Factor:,2/11/2020,LTB,0.855678343,
197,Gut content (score):,2/11/2020,LTB,1.2,
198,Hepatosomatic index:,2/11/2020,LTB,0.059467995,
199,Surface necrosis (score):,2/11/2020,LTB,0.6,
200,Weight (g),2/11/2020,LTB,7.784,
201,Antenna:Shrimp lengths (ratio):,2/25/2020,LTB,0.554526664,
202,Condition Factor:,2/25/2020,LTB,0.796041605,
203,Gut content (score):,2/25/2020,LTB,1.8,
204,Hepatosomatic index:,2/25/2020,LTB,0.0481937,
205,Surface necrosis (score):,2/25/2020,LTB,0.6,
206,Weight (g),2/25/2020,LTB,11.586,
207,Antenna:Shrimp lengths (ratio):,3/6/2020,LTB,0.703220876,
208,Condition Factor:,3/6/2020,LTB,0.92164181,
209,Gut content (score):,3/6/2020,LTB,2.2,
210,Hepatosomatic index:,3/6/2020,LTB,0.080582167,
211,Surface necrosis (score):,3/6/2020,LTB,1,
212,Weight (g),3/6/2020,LTB,14.902,
213,Antenna:Shrimp lengths (ratio):,3/10/2020,LTB,1.100458668,
214,Condition Factor:,3/10/2020,LTB,0.785012951,
215,Gut content (score):,3/10/2020,LTB,2,
216,Hepatosomatic index:,3/10/2020,LTB,0.04395645,
217,Surface necrosis (score):,3/10/2020,LTB,0.6,
218,Weight (g),3/10/2020,LTB,14.634,
219,Antenna:Shrimp lengths (ratio):,3/16/2020,LTB,1.104996435,
220,Condition Factor:,3/16/2020,LTB,0.934659315,
221,Gut content (score):,3/16/2020,LTB,1.5,
222,Hepatosomatic index:,3/16/2020,LTB,0.043121395,
223,Surface necrosis (score):,3/16/2020,LTB,0.75,
224,Weight (g),3/16/2020,LTB,16.905,
225,Antenna:Shrimp lengths (ratio):,3/31/2020,LTB,0.481867185,
226,Condition Factor:,3/31/2020,LTB,1.219670478,
227,Gut content (score):,3/31/2020,LTB,0.2,
228,Hepatosomatic index:,3/31/2020,LTB,0.046198811,
229,Surface necrosis (score):,3/31/2020,LTB,0.8,
230,Antenna:Shrimp lengths (ratio):,11/5/2018,RTB1,0.752501443,Cohort1
231,Condition Factor:,11/5/2018,RTB1,1.389895938,Cohort1
232,Gut content (score):,11/5/2018,RTB1,0.4,Cohort1
233,Hepatosomatic index:,11/5/2018,RTB1,0.068864069,Cohort1
234,Surface necrosis (score):,11/5/2018,RTB1,0.4,Cohort1
235,Gut content (score):,11/14/2018,RTB1,3,Cohort1
236,Gut content (score):,11/21/2018,RTB1,1.6,Cohort1
237,Antenna:Shrimp lengths (ratio):,12/12/2018,RTB1,1.258332146,Cohort1
238,Condition Factor:,12/12/2018,RTB1,1.11645257,Cohort1
239,Gut content (score):,12/12/2018,RTB1,0.6,Cohort1
240,Hepatosomatic index:,12/12/2018,RTB1,0.062769444,Cohort1
241,Surface necrosis (score):,12/12/2018,RTB1,0,Cohort1
242,Antenna:Shrimp lengths (ratio):,12/19/2018,RTB1,1.420457004,Cohort1
243,Condition Factor:,12/19/2018,RTB1,1.394551505,Cohort1
244,Gut content (score):,12/19/2018,RTB1,0.4,Cohort1
245,Hepatosomatic index:,12/19/2018,RTB1,0.051088631,Cohort1
246,Surface necrosis (score):,12/19/2018,RTB1,0.2,Cohort1
247,Antenna:Shrimp lengths (ratio):,12/26/2018,RTB1,1.17577938,Cohort1
248,Condition Factor:,12/26/2018,RTB1,1.216496021,Cohort1
249,Gut content (score):,12/26/2018,RTB1,0.2,Cohort1
250,Hepatosomatic index:,12/26/2018,RTB1,0.054079719,Cohort1
251,Surface necrosis (score):,12/26/2018,RTB1,0,Cohort1
252,Antenna:Shrimp lengths (ratio):,1/2/2019,RTB1,0.754951659,Cohort1
253,Condition Factor:,1/2/2019,RTB1,1.06390912,Cohort1
254,Gut content (score):,1/2/2019,RTB1,0.4,Cohort1
255,Hepatosomatic index:,1/2/2019,RTB1,0.068207996,Cohort1
256,Surface necrosis (score):,1/2/2019,RTB1,0.2,Cohort1
257,Antenna:Shrimp lengths (ratio):,1/9/2019,RTB1,0.480115589,Cohort1
258,Condition Factor:,1/9/2019,RTB1,1.048200775,Cohort1
259,Gut content (score):,1/9/2019,RTB1,0.6,Cohort1
260,Hepatosomatic index:,1/9/2019,RTB1,0.053549578,Cohort1
261,Surface necrosis (score):,1/9/2019,RTB1,0.2,Cohort1
262,Antenna:Shrimp lengths (ratio):,1/16/2019,RTB1,0.465164209,Cohort1
263,Condition Factor:,1/16/2019,RTB1,1.104545629,Cohort1
264,Gut content (score):,1/16/2019,RTB1,0.6,Cohort1
265,Hepatosomatic index:,1/16/2019,RTB1,0.040910442,Cohort1
266,Surface necrosis (score):,1/16/2019,RTB1,0.6,Cohort1
267,Antenna:Shrimp lengths (ratio):,1/23/2019,RTB1,0.285622224,Cohort1
268,Condition Factor:,1/23/2019,RTB1,1.14028126,Cohort1
269,Gut content (score):,1/23/2019,RTB1,2.4,Cohort1
270,Hepatosomatic index:,1/23/2019,RTB1,0.047183047,Cohort1
271,Surface necrosis (score):,1/23/2019,RTB1,0.6,Cohort1
272,Antenna:Shrimp lengths (ratio):,1/30/2019,RTB1,0.372790811,Cohort1
273,Condition Factor:,1/30/2019,RTB1,1.183561046,Cohort1
274,Gut content (score):,1/30/2019,RTB1,1,Cohort1
275,Hepatosomatic index:,1/30/2019,RTB1,0.046516574,Cohort1
276,Surface necrosis (score):,1/30/2019,RTB1,0.8,Cohort1
277,Antenna:Shrimp lengths (ratio):,2/6/2019,RTB1,0.217225242,Cohort1
278,Condition Factor:,2/6/2019,RTB1,1.164913565,Cohort1
279,Gut content (score):,2/6/2019,RTB1,1.8,Cohort1
280,Hepatosomatic index:,2/6/2019,RTB1,0.045060336,Cohort1
281,Surface necrosis (score):,2/6/2019,RTB1,0.4,Cohort1
282,Antenna:Shrimp lengths (ratio):,2/13/2019,RTB1,0.192403103,Cohort1
283,Condition Factor:,2/13/2019,RTB1,1.028307169,Cohort1
284,Gut content (score):,2/13/2019,RTB1,1.4,Cohort1
285,Hepatosomatic index:,2/13/2019,RTB1,0.045437468,Cohort1
286,Surface necrosis (score):,2/13/2019,RTB1,0.2,Cohort1
287,Antenna:Shrimp lengths (ratio):,2/20/2019,RTB1,0.311786357,Cohort1
288,Condition Factor:,2/20/2019,RTB1,0.972348001,Cohort1
289,Gut content (score):,2/20/2019,RTB1,2,Cohort1
290,Hepatosomatic index:,2/20/2019,RTB1,0.038415027,Cohort1
291,Surface necrosis (score):,2/20/2019,RTB1,0.2,Cohort1
292,Antenna:Shrimp lengths (ratio):,2/27/2019,RTB1,0.257005089,Cohort1
293,Condition Factor:,2/27/2019,RTB1,0.989579891,Cohort1
294,Gut content (score):,2/27/2019,RTB1,1.6,Cohort1
295,Hepatosomatic index:,2/27/2019,RTB1,0.043862434,Cohort1
296,Surface necrosis (score):,2/27/2019,RTB1,0.4,Cohort1
297,Antenna:Shrimp lengths (ratio):,3/6/2019,RTB1,0.276659783,Cohort1
298,Condition Factor:,3/6/2019,RTB1,0.97947758,Cohort1
299,Gut content (score):,3/6/2019,RTB1,1.8,Cohort1
300,Hepatosomatic index:,3/6/2019,RTB1,0.041480716,Cohort1
301,Surface necrosis (score):,3/6/2019,RTB1,0.2,Cohort1
302,Antenna:Shrimp lengths (ratio):,3/13/2019,RTB1,0.255584481,Cohort1
303,Condition Factor:,3/13/2019,RTB1,0.915965044,Cohort1
304,Gut content (score):,3/13/2019,RTB1,1.8,Cohort1
305,Hepatosomatic index:,3/13/2019,RTB1,0.048153918,Cohort1
306,Surface necrosis (score):,3/13/2019,RTB1,0.2,Cohort1
307,Antenna:Shrimp lengths (ratio):,3/20/2019,RTB1,0.302352695,Cohort1
308,Condition Factor:,3/20/2019,RTB1,0.946886936,Cohort1
309,Gut content (score):,3/20/2019,RTB1,0.2,Cohort1
310,Hepatosomatic index:,3/20/2019,RTB1,0.038533785,Cohort1
311,Surface necrosis (score):,3/20/2019,RTB1,0.2,Cohort1
312,Antenna:Shrimp lengths (ratio):,5/15/2019,RTB1,0.283692012,Cohort3
313,Condition Factor:,5/15/2019,RTB1,0.949740238,Cohort3
314,Gut content (score):,5/15/2019,RTB1,1.2,Cohort3
315,Hepatosomatic index:,5/15/2019,RTB1,0.038507623,Cohort3
316,Surface necrosis (score):,5/15/2019,RTB1,1,Cohort3
317,Weight (g),5/15/2019,RTB1,10.406,Cohort3
318,Antenna:Shrimp lengths (ratio):,5/22/2019,RTB1,0.306781009,Cohort3
319,Condition Factor:,5/22/2019,RTB1,0.92319512,Cohort3
320,Gut content (score):,5/22/2019,RTB1,0.6,Cohort3
321,Hepatosomatic index:,5/22/2019,RTB1,0.041617233,Cohort3
322,Surface necrosis (score):,5/22/2019,RTB1,0.8,Cohort3
323,Weight (g),5/22/2019,RTB1,14.912,Cohort3
324,Antenna:Shrimp lengths (ratio):,5/29/2019,RTB1,0.321964263,Cohort3
325,Condition Factor:,5/29/2019,RTB1,0.970358526,Cohort3
326,Gut content (score):,5/29/2019,RTB1,0,Cohort3
327,Hepatosomatic index:,5/29/2019,RTB1,0.035378757,Cohort3
328,Surface necrosis (score):,5/29/2019,RTB1,0.6,Cohort3
329,Weight (g),5/29/2019,RTB1,18.25,Cohort3
330,Gut content (score):,11/20/2019,RTB1,2,Cohort6
331,Surface necrosis (score):,11/20/2019,RTB1,2,Cohort6
332,Gut content (score):,11/26/2019,RTB1,1.8,Cohort6
333,Surface necrosis (score):,11/26/2019,RTB1,0.4,Cohort6
334,Antenna:Shrimp lengths (ratio):,1/2/2020,RTB1,0.380210853,Cohort6
335,Condition Factor:,1/2/2020,RTB1,0.842894079,Cohort6
336,Gut content (score):,1/2/2020,RTB1,0.8,Cohort6
337,Hepatosomatic index:,1/2/2020,RTB1,0.051839839,Cohort6
338,Surface necrosis (score):,1/2/2020,RTB1,1,Cohort6
339,Weight (g),1/2/2020,RTB1,16.322,Cohort6
340,Antenna:Shrimp lengths (ratio):,1/8/2020,RTB1,0.395289407,Cohort6
341,Condition Factor:,1/8/2020,RTB1,0.941922328,Cohort6
342,Gut content (score):,1/8/2020,RTB1,1.8,Cohort6
343,Hepatosomatic index:,1/8/2020,RTB1,0.044441309,Cohort6
344,Surface necrosis (score):,1/8/2020,RTB1,1,Cohort6
345,Weight (g),1/8/2020,RTB1,18.372,Cohort6
346,Antenna:Shrimp lengths (ratio):,1/15/2020,RTB1,0.380852858,Cohort6
347,Condition Factor:,1/15/2020,RTB1,0.948833565,Cohort6
348,Gut content (score):,1/15/2020,RTB1,1,Cohort6
349,Hepatosomatic index:,1/15/2020,RTB1,0.051559925,Cohort6
350,Surface necrosis (score):,1/15/2020,RTB1,0.4,Cohort6
351,Weight (g),1/15/2020,RTB1,22.486,Cohort6
352,Antenna:Shrimp lengths (ratio):,1/22/2020,RTB1,0.411482931,Cohort6
353,Condition Factor:,1/22/2020,RTB1,0.97157201,Cohort6
354,Gut content (score):,1/22/2020,RTB1,1,Cohort6
355,Hepatosomatic index:,1/22/2020,RTB1,0.044386561,Cohort6
356,Surface necrosis (score):,1/22/2020,RTB1,1,Cohort6
357,Weight (g),1/22/2020,RTB1,23.702,Cohort6
358,Antenna:Shrimp lengths (ratio):,1/29/2020,RTB1,0.287400429,Cohort6
359,Condition Factor:,1/29/2020,RTB1,0.785358867,Cohort6
360,Gut content (score):,1/29/2020,RTB1,0.6,Cohort6
361,Hepatosomatic index:,1/29/2020,RTB1,0.057316847,Cohort6
362,Surface necrosis (score):,1/29/2020,RTB1,1,Cohort6
363,Weight (g),1/29/2020,RTB1,25.834,Cohort6
364,Antenna:Shrimp lengths (ratio):,2/5/2020,RTB1,0.308247581,Cohort6
365,Condition Factor:,2/5/2020,RTB1,0.869618272,Cohort6
366,Gut content (score):,2/5/2020,RTB1,1.4,Cohort6
367,Hepatosomatic index:,2/5/2020,RTB1,0.039578985,Cohort6
368,Surface necrosis (score):,2/5/2020,RTB1,1,Cohort6
369,Weight (g),2/5/2020,RTB1,27.268,Cohort6
370,Antenna:Shrimp lengths (ratio):,2/12/2020,RTB1,0.260010288,Cohort6
371,Condition Factor:,2/12/2020,RTB1,0.96913647,Cohort6
372,Gut content (score):,2/12/2020,RTB1,1.2,Cohort6
373,Hepatosomatic index:,2/12/2020,RTB1,0.03957524,Cohort6
374,Surface necrosis (score):,2/12/2020,RTB1,0.8,Cohort6
375,Weight (g),2/12/2020,RTB1,32.032,Cohort6
376,Antenna:Shrimp lengths (ratio):,3/11/2020,RTB1,0.561745717,
377,Condition Factor:,3/11/2020,RTB1,0.939442383,
378,Gut content (score):,3/11/2020,RTB1,1,
379,Hepatosomatic index:,3/11/2020,RTB1,0.059728651,
380,Surface necrosis (score):,3/11/2020,RTB1,1,
381,Weight (g),3/11/2020,RTB1,0.824,
382,Antenna:Shrimp lengths (ratio):,3/18/2020,RTB1,1.318934249,
383,Condition Factor:,3/18/2020,RTB1,0.859148009,
384,Gut content (score):,3/18/2020,RTB1,0.6,
385,Hepatosomatic index:,3/18/2020,RTB1,0.061111678,
386,Surface necrosis (score):,3/18/2020,RTB1,0.4,
387,Weight (g),3/18/2020,RTB1,1.87,
388,Antenna:Shrimp lengths (ratio):,3/25/2020,RTB1,1.316562896,
389,Condition Factor:,3/25/2020,RTB1,0.941095878,
390,Gut content (score):,3/25/2020,RTB1,0.6,
391,Hepatosomatic index:,3/25/2020,RTB1,0.055538728,
392,Surface necrosis (score):,3/25/2020,RTB1,0.6,
393,Weight (g),3/25/2020,RTB1,5.592,
394,Antenna:Shrimp lengths (ratio):,12/5/2018,RTB2,0.614913723,Cohort1
395,Condition Factor:,12/5/2018,RTB2,1.112803646,Cohort1
396,Gut content (score):,12/5/2018,RTB2,0.4,Cohort1
397,Hepatosomatic index:,12/5/2018,RTB2,0.070063063,Cohort1
398,Surface necrosis (score):,12/5/2018,RTB2,0.8,Cohort1
399,Antenna:Shrimp lengths (ratio):,12/12/2018,RTB2,1.443506136,Cohort1
400,Condition Factor:,12/12/2018,RTB2,1.49575253,Cohort1
401,Gut content (score):,12/12/2018,RTB2,0.8,Cohort1
402,Hepatosomatic index:,12/12/2018,RTB2,0.065403868,Cohort1
403,Surface necrosis (score):,12/12/2018,RTB2,0,Cohort1
404,Antenna:Shrimp lengths (ratio):,12/19/2018,RTB2,1.188927942,Cohort1
405,Condition Factor:,12/19/2018,RTB2,0.76207087,Cohort1
406,Gut content (score):,12/19/2018,RTB2,2.8,Cohort1
407,Hepatosomatic index:,12/19/2018,RTB2,0.100607047,Cohort1
408,Surface necrosis (score):,12/19/2018,RTB2,0,Cohort1
409,Antenna:Shrimp lengths (ratio):,12/26/2018,RTB2,0.810949053,Cohort1
410,Condition Factor:,12/26/2018,RTB2,1.194918524,Cohort1
411,Gut content (score):,12/26/2018,RTB2,0.8,Cohort1
412,Hepatosomatic index:,12/26/2018,RTB2,0.053289718,Cohort1
413,Surface necrosis (score):,12/26/2018,RTB2,0.4,Cohort1
414,Antenna:Shrimp lengths (ratio):,1/2/2019,RTB2,0.474433079,Cohort1
415,Condition Factor:,1/2/2019,RTB2,0.988300144,Cohort1
416,Gut content (score):,1/2/2019,RTB2,0.4,Cohort1
417,Hepatosomatic index:,1/2/2019,RTB2,0.048528291,Cohort1
418,Surface necrosis (score):,1/2/2019,RTB2,0,Cohort1
419,Antenna:Shrimp lengths (ratio):,1/9/2019,RTB2,0.32573667,Cohort1
420,Condition Factor:,1/9/2019,RTB2,1.019869832,Cohort1
421,Gut content (score):,1/9/2019,RTB2,1.4,Cohort1
422,Hepatosomatic index:,1/9/2019,RTB2,0.038017629,Cohort1
423,Surface necrosis (score):,1/9/2019,RTB2,0.2,Cohort1
424,Antenna:Shrimp lengths (ratio):,1/16/2019,RTB2,0.267320774,Cohort1
425,Condition Factor:,1/16/2019,RTB2,1.137943789,Cohort1
426,Gut content (score):,1/16/2019,RTB2,0.2,Cohort1
427,Hepatosomatic index:,1/16/2019,RTB2,0.045839002,Cohort1
428,Surface necrosis (score):,1/16/2019,RTB2,0.4,Cohort1
429,Antenna:Shrimp lengths (ratio):,1/23/2019,RTB2,0.265865355,Cohort1
430,Condition Factor:,1/23/2019,RTB2,0.986484576,Cohort1
